%22Yes%2C%20America%20Can%21%22%20was%20this%20United%20States%20politician%27s%20de%20facto%20campaign%20slogan%20in%202004.,George%20W.%20Bush
Nazi%20Germany%20surrendered%20on%20Harry%20Truman%27s%20birthday%20while%20he%20was%20president.,True
In%20June%202017%2C%20Saudi%20Arabia%20and%20Egypt%20broke%20off%20ties%20with%20which%20country%20over%20its%20supposed%20support%20for%20terrorism%3F,Qatar
Which%20of%20these%20is%20NOT%20one%20of%20Donald%20Trump%27s%20children%3F,Julius
Which%20major%20bank%27s%20collapse%20was%20notable%20as%20one%20of%20the%20causes%20of%20the%20Financal%20Crisis%20of%202008%3F,Lehman%20Brothers
Which%20letter%20do%20you%20need%20to%20have%20on%20a%20European%20driver%20license%20in%20order%20to%20ride%20any%20motorbikes%3F,A
The%20largest%20consumer%20market%20in%202015%20was...,The%20United%20States%20of%20America
Before%202011%2C%20%22True%20Capitalist%20Radio%22%20was%20known%20by%20a%20different%20name.%20What%20was%20that%20name%3F,True%20Conservative%20Radio
Despite%20being%20seperated%20into%20multiple%20countries%2C%20The%20Scandinavian%20countries%20are%20unified%20by%20all%20having%20the%20same%20monarch.,False
The%20Watergate%20Scandal%20occured%20in%20what%20year%3F,1972
Russia%20passed%20a%20law%20in%202013%20which%20outlaws%20telling%20children%20that%20homosexuals%20exist.,True
Which%20president%20erased%20the%20national%20debt%20of%20the%20United%20States%3F,Andrew%20Jackson
George%20Clinton%2C%20Vice%20President%20of%20the%20United%20States%20%281805-1812%29%2C%20is%20an%20ancestor%20of%20President%20Bill%20Clinton.,False
Jeb%20Bush%20was%20elected%20as%20Governor%20of%20Florida%20in%202002%2C%20starting%20his%20political%20career.,False
Which%20nation%20joined%20NATO%20as%20its%2029th%20member%20in%202017%3F,Montenegro
What%20is%20former%20United%20States%20President%20Bill%20Clinton%27s%20full%20name%3F,William%20Jefferson%20Clinton
Which%20former%20US%20president%20used%20%22Let%27s%20Make%20America%20Great%20Again%22%20as%20his%20campaign%20slogan%20before%20Donald%20Trump%27s%20campaign%3F,Ronald%20Reagan
Who%20was%20the%20only%20president%20to%20not%20be%20in%20office%20in%20Washington%20D.C%3F,George%20Washington
Which%20of%20the%20following%20Argentinian%20presidents%20was%20elected%20in%202015%3F,Mauricio%20Macri
Joko%20Widodo%20has%20appeared%20in%20the%20cover%20of%20a%20TIME%20magazine.,True
Helen%20Clark%20was%20the%2037th%20Prime%20Minister%20of%20Australia.,False
One%20of%20Barack%20Obama%27s%20United%20States%20presidential%20campaign%20slogan%27s%20was%20%22Yes%20We%20Can%22.,True
Who%20was%20the%20British%20Prime%20Minister%20at%20the%20outbreak%20of%20the%20Second%20World%20War%3F,Neville%20Chamberlain
One%20of%20Donald%20Trump%27s%202016%20Presidential%20Campaign%20promises%20was%20to%20build%20a%20border%20wall%20between%20the%20United%20States%20and%20Mexico.,True
What%20is%20centralism%3F,%20Concentration%20of%20power%20and%20authority%20in%20a%20central%20organization.
The%202016%20United%20States%20Presidential%20Election%20is%20the%20first%20time%20Hillary%20Clinton%20has%20run%20for%20President.,False
Starting%20from%202000%2C%20China%20banned%20manufacturing%20and%20sales%20of%20all%20video%20game%20consoles.%20On%20which%20year%20was%20this%20ban%20lifted%3F,2015
According%20to%20the%20United%20States%20Constitution%2C%20how%20old%20must%20a%20person%20be%20to%20be%20elected%20President%20of%20the%20United%20States%3F,35
